question,answer,sort_order
"""宏村为什么叫'中国画里的乡村'？""","""宏村以'牛形村'布局著称，水系如牛肠，湖泊如牛胃，体现了中国古代村落的规划智慧。村落的建筑、景观、水系都形成了优美的画面，如同一幅中国画。""",46
"""宏村的'四菜一汤'是什么？""","""宏村的'四菜一汤'是指村落的四个池塘和一个湖泊，构成了完整的水系。水系与村落的布局相配合，体现了宏村的规划智慧和生态理念。""",47
"""宏村的建筑工艺有什么特点？""","""宏村采用徽派建筑风格，砖雕、木雕、石雕精美，体现了徽派建筑的艺术成就。建筑与自然环境相融合，体现了中国古代村落的生态理念。""",48
"""颐和园为什么是'皇家园林典范'？""","""颐和园是清代皇家园林，集江南园林之大成，体现了中国古代园林艺术的最高成就。园林布局、建筑风格、景观设计都达到了很高的水平。""",49
"""颐和园的长廊有什么特点？""","""颐和园长廊是中国最长的廊，全长728米，彩画精美，体现了中国古代廊文化的成就。长廊连接各个建筑，形成了优美的园林景观。""",50
"""颐和园的历史文化意义？""","""颐和园是清代重要的政治和文化中心，见证了清朝的历史。它是世界文化遗产，体现了中国古代园林艺术的成就。""",51
"""南禅寺为什么是中国现存最早木结构建筑？""","""南禅寺大殿建于唐代，比佛光寺东大殿早75年，是中国现存最早的木结构建筑。它的发现改写了中国的建筑史，体现了唐代建筑艺术的成就。""",52
"""南禅寺的木材和彩绘工艺？""","""南禅寺采用优质木材，彩绘工艺精湛，体现了唐代建筑艺术的成熟水平。建筑的梁架结构和装饰都体现了唐代建筑的特点。""",53
"""南禅寺的历史意义？""","""南禅寺是中国建筑史上的重要发现，证明了唐代木构建筑的存在，改写了中国的建筑史。它是研究唐代建筑的重要资料。""",54
"""陈家祠为什么是'岭南宗祠代表'？""","""陈家祠是岭南地区宗祠建筑的代表，体现了岭南建筑的特点。建筑规模宏大，装饰精美，体现了岭南宗祠建筑的成就。""",55
"""陈家祠的雕刻装饰有什么特点？""","""陈家祠的砖雕、木雕、石雕精美，体现了岭南雕刻艺术的成就。雕刻内容丰富，工艺精湛，反映了岭南的文化特色。""",56
"""陈家祠的文化内涵？""","""陈家祠是岭南文化的代表，体现了岭南的历史、宗教、艺术等各个方面。它是研究岭南文化的重要资料。""",57
"""都江堰为什么是'世界现存最古老水利工程'？""","""都江堰建于战国时期，至今仍在使用，体现了中国古代水利工程的成就。它是世界文化遗产，体现了中国古代工程的智慧。""",58
"""都江堰的工程结构有什么特点？""","""都江堰采用'鱼嘴分水'、“飞沙堰溢洪”、'宝瓶口引水'等先进技术，体现了中国古代水利工程的智慧。工程结构合理，功能完善。""",59
"""都江堰的历史意义？""","""都江堰是古代水利工程的重要代表，见证了中国的水利发展史。它是世界文化遗产，体现了中国古代工程的成就。""",60
"""莫高窟为什么是'佛教艺术宝库'？""","""莫高窟有大量的壁画和石窟，体现了佛教艺术的成就。壁画内容丰富，艺术水平高，反映了佛教文化的发展。""",61
"""莫高窟的壁画绘制工艺？""","""莫高窟壁画采用多种绘制工艺，色彩艳丽，线条流畅，体现了中国古代绘画艺术的成就。壁画的保存状况也反映了古代绘画技术的水平。""",62
"""莫高窟的历史文化意义？""","""莫高窟是佛教文化的重要场所，见证了佛教在中国的传播和发展。它是世界文化遗产，体现了中国古代佛教艺术的成就。""",63
"""明十三陵为什么是'明代皇家陵墓群'？""","""明十三陵是明代13位皇帝的陵墓，建筑规制统一，体现了明代陵寝建筑的成就。它是世界文化遗产，体现了中国古代陵寝文化的成就。""",64
"""明十三陵的布局有什么特点？""","""明十三陵采用中轴对称布局，前朝后寝，体现了中国古代陵寝建筑的规制。神道、碑亭、方城明楼等建筑都体现了明十三陵的规模和重要性。""",65
"""明十三陵的历史意义？""","""明十三陵是明代历史的重要见证，见证了明朝的建立和发展。它是世界文化遗产，体现了中国古代陵寝文化的成就。""",66
"""个园为什么以'四季假山'闻名？""","""个园以四季假山著称，春、夏、秋、冬四季假山各具特色，体现了中国古代园林艺术的成就。假山与建筑、景观相配合，形成了优美的园林景观。""",67
"""个园的叠山理水工艺？""","""个园采用叠山理水工艺，假山造型奇特，水系布局合理，体现了中国古代园林艺术的成就。园林设计体现了'虽由人作，宛自天开'的造园理念。""",68
"""个园的文化内涵？""","""个园体现了中国古代文人的审美情趣和生活理念，园林中的建筑、景观、题词都反映了文人的文化修养和艺术追求。""",69
