building_id,section_type,title,content,sort_order
3,material,材料与工艺,"""桥体全部用石灰石建造，石料之间用腰铁连接，坚固耐久。拱券采用纵向并列砌筑法，由28道拱圈并列而成，可独立维护。拱石间用铁楔连接，拱背铺设护拱石，两侧设仰天石。桥面两侧栏板和望柱雕刻精美，现存栏板多为隋代原物，图案有行龙、饕餮等，刀法古朴。桥面铺石，两侧设地袱。桥台基础为五层条石砌成，直接坐于河床天然砂石地层上。腰铁、铁楔的运用，增强了石构件的整体性。所用石料为当地产的青白色石灰岩，质地坚硬，耐风化。拱石加工精细，表面光滑，缝隙严密，体现了隋代石工的高超技艺。""",3
3,culture,文化价值,"""赵州桥是中国古代桥梁建筑的杰出代表，其敞肩拱技术领先世界数百年，欧洲类似的桥直到14世纪才出现。它的设计理念、结构力学、施工工艺，至今仍为桥梁工程界所推崇。李春作为古代桥梁大师，其事迹载入史册。赵州桥也是文学艺术中的重要题材，民间传说《小放牛》传唱不衰，歌颂了鲁班（实为李春）修桥的故事。1991年被美国土木工程师学会评为国际土木工程历史古迹。它的建成，标志着中国古代桥梁技术达到了一个高峰，对后世桥梁建造产生了深远影响。赵州桥与卢沟桥、广济桥并称中国三大古桥。桥上的石刻、栏板是研究隋代雕刻艺术的珍贵实物。赵州桥还体现了中国古代“天人合一”的哲学思想，其优美的弧线与自然环境和谐相融。""",4
4,history,历史沿革,"""苏州拙政园位于苏州古城区东北街，始建于明正德四年（1509年），由御史王献臣因官场失意还乡，以大弘寺旧址拓建而成，取晋代潘岳《闲居赋》中“拙者之为政”之意命名。后多次易主，几经分合改建。明崇祯年间，园东部归侍郎王心一，改名“归田园居”。清初归陈之遴，后又归吴三桂婿王永宁。乾隆年间，园中部归蒋棨，重新修缮。同治年间，为李鸿章所得，后为张之万所有。现存园貌主要形成于清末，经1952年整修后对公众开放。1997年被列为世界文化遗产（苏州古典园林扩展项目）。拙政园是江南私家园林的典范，被誉为“中国园林之母”。园内至今保留有明代文徵明《拙政园图》石刻三十一幅，是研究园林历史的重要资料。""",1
4,structure,结构成就,"""全园以水为中心，山水萦绕，亭榭精美，分为东、中、西三部分。中部为精华所在，水面约占三分之一，池水清澈，建筑多临水布置，有远香堂、荷风四面亭、香洲、小飞虹等。布局疏密自然，极富江南水乡韵味。其借景、对景等手法运用纯熟，如远香堂北望，雪香云蔚亭、待霜亭隐现于林木之中。西部补园有三十六鸳鸯馆、十八曼陀罗花馆，建筑精美，四周假山环绕。东部明快开朗，有兰雪堂、芙蓉榭等。园内桥梁多座，以小飞虹廊桥最为别致，桥身覆以廊，可遮阳避雨。园中水体曲折萦回，有聚有分，形成丰富的水景。中部池中垒土石为二岛，上建亭阁，象征海上仙山。""",2
4,material,材料与工艺,"""建筑多为砖木结构，粉墙黛瓦，木构件施以精美雕刻和彩绘。假山用太湖石堆叠，手法自然，如中部池中两岛，以土为主，石为辅，林木葱郁，体现了明代园林“土石相间”的叠山风格。水景处理巧妙，池岸曲折，水流萦回。园内植物配置丰富，四季有景，春有海棠、牡丹，夏有荷花，秋有菊花、红枫，冬有腊梅。铺地多用卵石、碎瓦拼成图案，如冰裂纹、海棠纹等，做工精细。门窗洞造型多样，有圆形、方形、六角形、海棠形等，框景成画。建筑装修精致，如三十六鸳鸯馆的蓝白玻璃窗，为晚清风格，透过彩色玻璃看园景，别有趣味。""",3
4,culture,文化价值,"""作为中国四大名园之一，拙政园是江南古典园林的代表作。1997年被列为世界文化遗产（苏州古典园林扩展项目）。其造园艺术深刻影响了后世园林设计，体现了明代文人园林的审美理想——自然、疏朗、雅致。园内楹联匾额众多，如“与谁同坐轩”取苏轼词意，文化底蕴深厚。拙政园也是研究中国古代园林艺术、建筑史、文人生活的重要实例。它代表了江南私家园林的最高成就，被誉为“中国园林之母”。园内建筑、山石、花木、水体完美融合，是文人写意山水园的典范。历代文人墨客如文徵明、袁枚、俞樾等都曾游园赋诗，留下大量诗文。拙政园还见证了明清两代江南士大夫的生活方式和审美情趣。""",4
5,history,历史沿革,"""福建土楼主要分布在闽西南山区，起源于宋元时期，成熟于明清。是客家人为防御外敌和野兽，聚族而居的大型夯土民居建筑。最具代表性的有永定初溪土楼群、南靖田螺坑土楼群、华安大地土楼群等。2008年，福建土楼46座被列入世界文化遗产名录。其建筑形制反映了中国古代宗族社会的组织结构和农耕文明的智慧。福建土楼的建造与历史上客家先民南迁、与当地土著融合的过程密切相关，是中原文化与闽越文化结合的产物。据族谱记载，永定客家土楼最早建于宋末元初，明末清初达到鼎盛。土楼的建造往往由一姓宗族共同出资，历时数年乃至数十年建成，凝聚了全族的心血。""",1
5,structure,结构成就,"""土楼通常为圆形或方形，高达3-5层，外墙用生土夯筑，厚达1-2米，坚固如堡垒。内部为木结构，环周房间均朝向内院，中心为祖堂。集居住、防御、祭祀于一体，空间布局合理。圆楼如承启楼，直径73米，四层，每层72间，共288间，中心设祖堂，为内外三圈环形建筑，内圈为单层，中圈为二层，外圈为四层，规模宏大。方楼如和贵楼，高5层，外墙用卵石砌基，土墙厚1.3米，楼内设水井、粮仓，可长期固守。土楼底层为厨房、餐厅，二层为粮仓，三层以上为卧室。楼内设环形走廊连通各户，每层有四个公共楼梯。外墙开设少量小窗，底层无窗，防御性强。楼内天井宽阔，可供晾晒谷物、举行宗族活动。""",2
5,material,材料与工艺,"""主要材料为黄土、沙石、石灰、糯米浆、红糖水等，经过反复夯筑而成，强度极高，堪比混凝土。墙体中加入竹片、木条作为拉筋，增强整体性。屋顶采用小青瓦，出檐深远以保护墙体。内部木结构采用穿斗式和抬梁式结合，梁柱榫卯连接。楼内门窗、栏杆多施雕刻，题材丰富，如麒麟送子、福禄寿喜等。地基多用大块卵石砌筑，以防潮湿和虫害。外墙底部不开窗，二层以上开小窗，窗框用条石砌成。夯土墙分段夯筑，每段约30厘米，层层夯实，墙体内外抹灰，以防雨水冲刷。""",3
5,culture,文化价值,"""福建土楼是世界文化遗产，被誉为“东方古城堡”。它体现了中国传统的宗族社会形态和建筑智慧，是人与自然和谐共存的典范。土楼建筑不仅具有居住和防御功能，还承载着客家人的文化认同和家族伦理。其独特的建筑形式，成为福建客家文化的象征，吸引了大量游客和学者。2008年被列入世界遗产名录，遗产名称为“福建土楼”。土楼的夯筑技术、聚落规划，对现代建筑和社区规划也有启示意义。土楼内至今仍有许多居民生活，是活态的文化遗产，保留着客家人的传统习俗和生活方式。土楼还是客家文化的载体，楼内设有学堂、祠堂，体现了客家人崇文重教的传统。""",4
6,history,历史沿革,"""北京故宫，旧称紫禁城，位于北京中轴线中心，始建于明永乐四年（1406年），以南京故宫为蓝本，历时14年于1420年建成，是明清两代的皇家宫殿。此后历经多次重修和扩建，现存建筑主要为清代所建。1925年成立故宫博物院，对公众开放。1987年被列为世界文化遗产，是世界上现存规模最大、保存最完整的木质结构古建筑群。故宫的设计体现了中国古代的宇宙观和皇权思想，是中华文明的瑰宝。故宫共有24位皇帝在此居住，是中国古代宫廷生活的见证。明清两代先后有24位皇帝在此登基、居住、理政，历时491年。故宫的建筑布局严格遵循《周礼·考工记》中“左祖右社，前朝后市”的营国制度，体现了皇权至上的思想。""",1
6,structure,结构成就,"""故宫占地面积72万平方米，建筑面积约15万平方米，有宫殿70多座，房屋9000余间。整体布局沿中轴线对称，前朝后寝，左祖右社，严格遵循礼制。太和殿、中和殿、保和殿三大殿巍峨壮观，坐落在三层汉白玉台基上。太和殿面阔十一间，重檐庑殿顶，是等级最高的建筑，殿内金砖铺地，设有金漆雕龙宝座。乾清宫、交泰殿、坤宁宫为后三宫，是皇帝、皇后居住的正宫。东西六宫为嫔妃居所，布局规整。御花园精巧雅致，内有亭台楼阁、假山水池。宫城四角有角楼，结构复杂，九梁十八柱七十二脊。城墙高10米，外有护城河。故宫的布局严谨，轴线明确，体现了皇权至上的思想。""",2
6,material,材料与工艺,"""主要建筑材料为木料（楠木、松木等）、砖石、琉璃瓦。木构采用榫卯连接，斗拱层叠，彩绘精美（和玺彩画、旋子彩画）。台基用汉白玉雕砌，栏板望柱雕刻云龙、云凤。殿顶覆盖黄色琉璃瓦，体现皇家气派。地砖为“金砖”，产自苏州，质地密实，敲之有金石之声。故宫的排水系统设计科学，历经数百年依然有效。墙体用青砖砌筑，抹灰刷红。门钉九行九列，象征皇权。太和殿内金砖铺地，光滑如镜，共铺设4718块。殿内柱子多根，最粗者直径达1.06米，均为金丝楠木。故宫的彩画以和玺彩画等级最高，用于主要宫殿，旋子彩画次之，用于次要建筑。""",3
6,culture,文化价值,"""北京故宫是世界上现存规模最大、保存最完整的木质结构古建筑群，1987年被列为世界文化遗产。它集中体现了中国古代建筑艺术和宫廷文化的巅峰，是中华民族的瑰宝。故宫不仅是中国古代建筑史的典范，也是明清两代历史的重要见证，收藏有180余万件文物，涵盖古代艺术、宫廷生活等各个方面，是世界上最重要的博物馆之一。故宫的建筑规制、装饰艺术、礼仪制度，对后世产生了深远影响。故宫也是中华文明的象征，每年吸引大量游客参观。故宫的文物包括书画、瓷器、青铜器、玉器、金银器、珐琅器等，其中《清明上河图》、大禹治水玉山等为国宝级文物。故宫还设有宫廷历史遗迹陈列，展示皇帝、后妃的生活场景。""",4
7,history,历史沿革,"""拉萨布达拉宫位于西藏拉萨市西北的玛布日山上，始建于公元7世纪吐蕃王朝松赞干布时期，为迎娶文成公主而建，后毁于战火。17世纪五世达赖喇嘛重建，成为历代达赖喇嘛的冬宫和政治宗教中心。此后不断扩建，形成今日规模。1994年被列为世界文化遗产（布达拉宫历史建筑群）。布达拉宫不仅是西藏政教合一的象征，也是藏汉民族团结的历史见证。布达拉宫的建筑与山体完美融合，被誉为“世界屋脊上的明珠”。五世达赖喇嘛重建时，白宫先建成，五世达赖即迁居于此。五世达赖圆寂后，摄政桑结嘉措主持修建红宫，供奉五世达赖灵塔。此后历代达赖均有增建，形成今日规模。""",1
7,structure,结构成就,"""布达拉宫依山而建，高117米，共13层，由红宫、白宫和山脚下的雪城组成。建筑群与山体融合，气势恢宏。红宫居中，为佛殿和历代达赖灵塔殿；白宫横列两翼，为达赖寝宫和办公地。内部殿堂密布，廊道交错，集宫殿、寺庙、灵塔于一体。金顶群位于红宫顶部，七座鎏金铜瓦歇山顶，阳光下熠熠生辉。宫殿外墙收分明显，厚重稳固。内部楼梯陡峭，空间错落有致。红宫西有寂圆满殿，东有殊胜三界殿，各有特色。白宫最大的殿堂是东大殿，是达赖举行坐床、亲政大典的地方。红宫内灵塔殿供奉五世至十三世达赖灵塔，其中五世达赖灵塔高14.85米，用黄金3721公斤，镶嵌宝石上万颗。""",2
7,material,材料与工艺,"""主体为石木结构，外墙用花岗石砌筑，厚达2-5米，收分明显，稳固雄伟。内部木柱、梁架粗壮，雕梁画栋，彩绘精美。屋顶覆盖鎏金铜瓦，金顶群为歇山顶，屋脊装饰宝瓶、共命鸟等。灵塔殿内供奉五世达赖至十三世达赖的灵塔，用黄金包裹，镶嵌宝石。壁画总面积达2500余平方米，内容多为佛教故事、历史事件，如文成公主进藏图、五世达赖觐见顺治帝图等。木雕、石刻、唐卡等工艺精湛。红宫内的司西平措大殿，有48根木柱，可容纳500名喇嘛诵经。白宫内的东大殿，有木柱30根，壁画绘有藏族起源、历代达赖传记等。""",3
7,culture,文化价值,"""作为世界文化遗产，布达拉宫是藏式建筑的杰出代表，也是西藏政教合一历史的见证。它保存有大量珍贵文物和佛教艺术品，包括佛经、佛像、唐卡、法器，是研究藏传佛教和藏族文化的宝库。布达拉宫也是藏汉民族团结的象征，文成公主的故事在此传颂。每年吸引大量朝圣者和游客，是西藏最重要的文化地标。其建筑艺术对藏传佛教寺院建筑产生了深远影响。布达拉宫与大昭寺、罗布林卡共同构成拉萨的历史文化核心区。宫内藏有大量珍贵文物，如贝叶经、藏文典籍、皇帝敕封、金印金册等，是研究西藏历史、宗教、艺术的第一手资料。布达拉宫还是藏传佛教信徒的朝圣圣地，每天都有众多信徒围绕宫殿转经。""",4
8,history,历史沿革,"""北京天坛位于北京东城区永定门内大街，始建于明永乐十八年（1420年），是明清皇帝祭天祈谷的场所。初名天地坛，合祭天地。明嘉靖九年（1530年）因祭地另建地坛，1530年改称天坛，专门祭天。清乾隆年间进行大规模改建，将祈年殿改为三重檐圆形攒尖顶，形成现存格局。1998年被列为世界文化遗产。天坛是中国古代祭天礼仪的最高体现，延续了近500年。明清22位皇帝在此举行过654次祭天大典。天坛的建造与北京城的中轴线规划密切相关，其位置、朝向、布局均严格遵循礼制。天坛的改建和修缮历代不绝，如清乾隆十六年（1751年）将祈年殿改为蓝琉璃瓦，象征蓝天。光绪十五年（1889年）祈年殿遭雷火焚毁，次年按原样重建。""",1
8,structure,结构成就,"""天坛占地273万平方米，约为故宫四倍。主要建筑有祈年殿、皇穹宇、圜丘坛等，均沿中轴线布置。祈年殿为三重檐圆形攒尖顶，高38米，直径32.72米，象征天圆地方，内部结构精巧，无大梁长檩，依靠28根金丝楠木大柱支撑，中央四根龙井柱代表四季，中层十二根金柱代表十二个月，外层十二根檐柱代表十二时辰。坛域广阔，古柏森森。圜丘坛为三层石坛，每层栏板望柱数目均为九的倍数，象征九重天。皇穹宇单檐攒尖顶，周围有回音壁、三音石等声学建筑。祈年殿前有祈谷坛，为三层石台，与祈年殿相连。皇穹宇供奉皇天上帝神版，周围回音壁可传递声波。""",2
8,material,材料与工艺,"""祈年殿采用木结构，28根金丝楠木大柱支撑，分别象征四季、十二个月等。殿顶覆盖蓝色琉璃瓦，寓意蓝天。坛面用汉白玉铺砌，栏板望柱雕刻精美。圜丘坛为三层石坛，坛面、栏板、望柱均用艾叶青石，石料打磨精细，缝隙严密。皇穹宇周围回音壁用磨砖对缝砌成，可传递声波。三音石位于皇穹宇殿前，可听到三次回音。天坛内有大量古柏，树龄数百年，其中九龙柏树龄逾500年，树干扭曲如九龙盘旋。祈年殿内藻井精美，彩绘金龙。圜丘坛中心有一圆形石板，名“天心石”，站在其上发声，声音格外洪亮。""",3
8,culture,文化价值,"""北京天坛是世界上最大的祭天建筑群，1998年被列为世界文化遗产。它体现了中国古代“天人合一”的宇宙观和建筑艺术的高度成就，是研究礼制建筑和古代科技的珍贵实例。天坛的建筑设计融入了大量天文、历法、阴阳五行学说，是中国古代哲学与建筑完美结合的典范。天坛的声学建筑是古代建筑声学的杰出成就。天坛的古柏与建筑相映成趣，营造出庄严肃穆的氛围。天坛也是北京重要的旅游景点，每年冬至和春节都有仿古祭天仪式。天坛的祭天礼仪被列入国家级非物质文化遗产。天坛的圜丘坛、祈年殿、皇穹宇等建筑，不仅是中国古代建筑的杰作，也是世界建筑史上的瑰宝。天坛还体现了中国古代帝王“敬天法祖”的统治思想。""",4
9,history,历史沿革,"""西安大雁塔位于西安大慈恩寺内，始建于唐永徽三年（652年），为保存玄奘从印度带回的佛经和佛像而建。初为五层砖塔，武则天长安年间（701-704年）改建为七层，后多次改建，明代加固成现存的七层楼阁式砖塔。玄奘曾在此翻译佛经，创立唯识宗。1961年被列为第一批全国重点文物保护单位。大雁塔是唐代长安城的重要地标，也是唐代中外文化交流的象征。大雁塔与玄奘法师紧密相连，是唯识宗祖庭。唐中宗神龙年间（705-707年）开始，新科进士有“雁塔题名”的习俗，白居易曾题诗：“慈恩塔下题名处，十七人中最少年。”历代修缮，如五代后唐长兴年间（930-933年）、北宋太平兴国年间（976-984年）、明万历三十二年（1604年）均有重修。明万历年间在塔外包砌一层厚砖，使塔体更加坚固。""",1
9,structure,结构成就,"""塔高64.5米，共七层，平面呈方形，每层有券门，可登临远眺。塔身仿木结构，用青砖砌成，各层逐渐收分，造型简洁稳重。底层四面石门上有精美线刻佛像，传为唐代阎立本所绘。塔内设木梯，可盘旋而上。各层塔檐用砖叠涩出檐，檐下砌成仿木斗拱。底层南门两侧镶嵌有褚遂良书写的《大唐三藏圣教序》和《述三藏圣教序记》碑，均为楷书精品。塔顶为砖砌宝瓶形刹。塔底层南门两侧砖龛内，有唐代线刻佛像，线条流畅，为唐代线刻精品。塔内各层有佛龛，内置佛像，多为明清补塑。塔身各层四面开券门，可凭栏远眺西安城景。""",2
9,material,材料与工艺,"""全部用青砖砌筑，砖缝用黄泥和糯米浆黏合，坚固耐久。塔身内部有木梯盘旋而上。底层南门两侧镶嵌有褚遂良书写的《大唐三藏圣教序》和《述三藏圣教序记》碑，均为楷书精品。塔内原有唐代壁画，现已不存。各层有佛龛，内置佛像。底层四面石门上线刻佛像，为唐代线刻精品。塔身外表包砖，内部为夯土。明代加固时，在塔身外包砌了一层厚砖，使塔体更加坚固。所用青砖规格统一，烧制精良，砖面光滑。塔檐用砖叠涩出檐，出檐深度逐层递减，形成优美的轮廓线。""",3
9,culture,文化价值,"""大雁塔是唐代佛教建筑的重要遗存，也是西安的标志性建筑。它见证了玄奘西行取经的壮举和佛教中国化的历程，是唐代中外文化交流的象征。历代文人题咏甚多，如杜甫“高标跨苍天”诗句。大雁塔也是唐代进士题名处，称为“雁塔题名”。1961年被列为全国重点文物保护单位，是丝绸之路世界文化遗产的一部分。大雁塔与玄奘法师紧密相连，是唯识宗祖庭。大雁塔北广场有亚洲最大的音乐喷泉，与古塔相映成趣。大慈恩寺内还有玄奘三藏院，展示玄奘生平事迹。大雁塔不仅是佛教圣地，也是西安的文化名片，每年吸引大量游客。塔内藏有玄奘顶骨舍利（部分），是佛教徒朝拜的圣物。""",4
10,history,历史沿革,"""山西晋祠圣母殿位于太原市晋祠博物馆内，是为纪念周武王次子叔虞而建。圣母殿是晋祠的主体建筑，始建于北宋天圣年间（1023-1032年），崇宁元年（1102年）重修，是宋代建筑的代表作。殿内供奉叔虞之母邑姜（姜子牙之女），故称圣母殿。明清两代均有修缮，但主体结构和主要构件保留宋代原貌。1961年被列为第一批全国重点文物保护单位。晋祠圣母殿与鱼沼飞梁、献殿并称晋祠三大国宝建筑。据《太原县志》记载，圣母殿原名“女郎祠”，后改称圣母殿。宋元祐二年（1087年），殿前增建献殿，用于祭祀。金大定八年（1168年）重修，明万历年间（1573-1620年）重建殿顶，清乾隆年间（1736-1795年）重修殿内塑像。""",1
10,structure,结构成就,"""殿身面阔七间（26.7米），进深六间（21.15米），重檐歇山顶。殿身采用减柱法，殿内无柱，空间开阔，为宋代建筑革新之典范。前檐廊深两间，廊柱上盘绕八条木雕蟠龙，栩栩如生，是国内现存最早的木雕盘龙柱，龙身遒劲，神态各异，体现了宋代木雕的高超技艺。斗拱用材硕大，下檐五铺作，上檐六铺作。殿顶琉璃瓦剪边，脊饰吻兽精美。殿身周匝副阶，形成重檐。殿前月台宽敞，与鱼沼飞梁相连。鱼沼飞梁为十字形石桥，是国内孤例，桥面由34根石柱支撑，上铺十字形桥面，中央与圣母殿月台相接，四向延伸至沼岸。""",2
10,material,材料与工艺,"""木材为主要材料，柱网布局独特，斗拱硕大。殿内彩塑侍女像43尊，为宋代原作，神态各异，艺术价值极高，被誉为“晋祠三绝”之一。塑像比例匀称，衣纹流畅，面部表情丰富，展现了宋代雕塑写实之风。殿顶覆盖琉璃瓦，吻兽精美。廊柱上木雕蟠龙，采用圆雕、浮雕结合，形象生动。殿内梁栿施彩绘，为清代重妆。台基用石砌，前设踏步。鱼沼飞梁为石柱、石梁，上铺石板，柱头有雕花。圣母殿前檐廊柱上的蟠龙，为整木雕成，龙身盘曲，龙爪怒张，极具动感。侍女像中有手持乐器、如意、盥洗用具者，神态各异，栩栩如生。""",3
